generation,Individual,Fitness,Genome,steric_stiff,steric_range,surface_stiff,anchor_density,anchor_stiff,hydrolysis
gen0020,81,2.27246,00011110110010100001100100101000,526.5625,0.050624999999999996,31.625,21.875,162.5,0.2625
gen0020,82,3.517345,00000101000001110001010110000110,160.9375,0.0375,22.4375,19.0625,218.75,0.209375
gen0020,83,5.588192,00000000101101110001111100101000,100.0,0.03515625,22.4375,24.6875,387.5,0.2625
gen0020,84,1.845973,00011111100101111000110101010011,526.5625,0.05671875,23.96875,13.4375,190.625,0.2296875
gen0020,85,2.049409,00000111110011010010100000101001,160.9375,0.058124999999999996,40.8125,33.125,50.0,0.2640625
gen0020,86,1.333491,00001011100110000001010001001000,221.875,0.05671875,25.5,19.0625,78.125,0.21250000000000002
gen0020,87,0.87351,00000011001101100001111011111000,100.0,0.05390625,19.375,24.6875,359.375,0.2875
gen0020,88,0.240122,00000110100010100101111000001001,160.9375,0.04875,32.390625,24.6875,275.0,0.21406250000000002
gen0020,89,0.412224,00000011100011011010100011100000,100.0,0.056249999999999994,42.34375,33.125,134.375,0.25
gen0020,90,1.779476,00000011100011110001000001001000,100.0,0.056249999999999994,46.9375,16.25,78.125,0.21250000000000002
gen0020,91,0.844838,00000011111101011001000101000010,100.0,0.059531249999999994,17.84375,16.25,190.625,0.203125
gen0020,92,0.815455,00000011110111010101011101000100,100.0,0.05859375,41.578125,19.0625,415.625,0.20625000000000002
gen0020,93,1.603751,00000011111101011101010001010001,100.0,0.059531249999999994,18.609375,19.0625,78.125,0.2265625
gen0020,94,1.421339,00001011111101011101111011010001,221.875,0.059531249999999994,18.609375,24.6875,359.375,0.2265625
gen0020,95,2.200546,00000111100011110001000011010110,160.9375,0.056249999999999994,46.9375,16.25,134.375,0.234375
gen0020,96,1.080294,00000011100001110110100011101010,100.0,0.056249999999999994,23.203125,33.125,134.375,0.265625
gen0020,97,0.427633,00000011101011100101010011111001,100.0,0.0571875,44.640625,19.0625,134.375,0.2890625
